id,source,title,type,transaction,price,priceDisplay,currency,area,pricePerM2,location,province,district,lat,lng,bedrooms,bathrooms,floors,frontage,description,imageUrl,url,postedAt,scrapedAt
chotot-131695819,chotot,Nhà sổ hồng riêng KDC đường Phan Văn Hớn - Giá siêu rẻ.,Townhouse,SALE,3100000000,"3,1 tỷ",VND,74.4,41666667,"Đường Phan Văn Hớn, Quận 12, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận 12,10.827228,106.625175,1,1,1,4.3499,"GIÁ: 3,8 TỶ => GIẢM CÒN: 3,1 TỶ (BÁN GẤP) => RẺ HƠN LÔ ĐẤT.
NHÀ CẤP 4 SỔ HỒNG RIÊNG => TIỆN XÂY MỚI HOẶC SỬA LẠI Ở .
- DT: 4,35m × 17m. CN: 74,4m².
- ĐC: 31/8 Phan Văn Hớn, P. Tân Thới Nhất, Q.12. 
- Gồm  1phòng khách, 1 bếp, 1 phòng ngủ, 1WC. 
Sổ Hồng riêng
- Chi tiết nhà: Quẹo vào hẻm 50 Phan Văn Hớn đi thẳng 40m tới nhà.
- Cách đường Trường Chinh 100m.
KHÁCH NHANH CÒN KỊP.",https://cdn.chotot.com/EDXCy6NKBPsb-8lZIOWafuIBIGkgrpWc7CashPdCRec/preset:listing/plain/876a1bca399d72a3a24d114664a82803-2978999317293720102.jpg,https://www.chotot.com/131695819.htm,2026-04-10T15:27:26.000Z,2026-04-10T15:34:25.981Z
chotot-130617853,chotot,"🔥🔥NHÀ FULL NỘI THẤT-3,65TỶ-25m2-2LẦU BTCT-PHẠM VĂN CHIÊU GV",Townhouse,SALE,3650000000,"3,65 tỷ",VND,25,146000000,"Đường Phạm Văn Chiêu, Quận Gò Vấp, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận Gò Vấp,10.848225,106.648125,2,2,2,4,"🔥🔥NHÀ FULL NỘI THẤT-3,65TỶ-25m2-2LẦU BTCT-PHẠM VĂN CHIÊU GV
➕ Kết cấu: 01 Trệt, 1 lầu, 2 phòng ngủ, 2 WC,BTCT
➕Tặng toàn bộ nội thất đẹp
🚘Hẻm 3m cách 200m ra HXH,Cách MT Phạm Văn Chiêu 200m
➕Sổ Hồng chính chủ 
➕Giá chủ bán :3,65tỷ (TL)
☎️LH:Sơn.***",https://cdn.chotot.com/0m4bduCf3lIOvZ2nk8mRuLYvKSzcgvHVyaFNWB1lNdQ/preset:listing/plain/25c879e6fb6d6b8d7269589453bdb6ab-2969570588503514735.jpg,https://www.chotot.com/130617853.htm,2026-04-10T15:27:01.000Z,2026-04-10T15:34:25.981Z
chotot-131750221,chotot,"nhà 2 tầng, mặt tiền kinh doanh, thổ cư 90m2, 5,7 tỷ. Đ NGUYỄN VĂN HOA",House,SALE,5700000000,"5,7 tỷ",VND,90,63333333,"Đường Nguyễn Văn Hoa, Thành phố Biên Hòa, Đồng Nai",Đồng Nai,Thành phố Biên Hòa,10.952894,106.84035,3,2,2,,"BÁN NHÀ MẶT TIỀN đường NGUYỄN VĂN HOA –  TRUNG TÂM BIÊN HÒA 🌿 cách bv ito 1,5km, cạnh khu sầm uất nhất BIÊN HOÀ ( khu D2D, đường VÕ THỊ SÁU)
🏡 thuộc phường Trấn Biên (Thống Nhất cũ)
	•	Diện tích: 90m2 sổ thổ cư 100%
	•	Kết cấu: 1 trệt 1 lầu.
	•	Công năng: 3 phòng ngủ, 2 WC.
	•	Không gian bố trí hợp lý, tối ưu cho gia đình sinh hoạt thoải mái. thiết kế có sàn sân thượng, kiên cố có thể xây thêm.
-Gần các tiện ích như chợ, trường học, siêu thị… phục vụ đầy đủ nhu cầu hằng ngày.
- giá chỉ 5,7 tỷ, cam kết giá tương đối so với thị trường. khách mua sử dụng và có thể tăng giá tốt.
lh Lợi nhà lẻ. *** để xem nhà.",https://cdn.chotot.com/O-fQKjUXsQrkXUBGLAnvxPHLTHLVR9dCMpOiDfBDtnA/preset:listing/plain/a58065a8bd7d69cc9a3c8f9cd160fe8e-2979355862528778790.jpg,https://www.chotot.com/131750221.htm,2026-04-10T15:26:50.000Z,2026-04-10T15:34:25.981Z
chotot-131648738,chotot,HIẾM BÌNH TÂN - KO LỘ GIỚI KO QUY HOẠCH - 25M2 - SỔ RIÊNG HỖ TRỢ VAY,Townhouse,SALE,2300000000,"2,3 tỷ",VND,25,92000000,"Đường Hương Lộ 2, Quận Bình Tân, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận Bình Tân,10.770323,106.59671,1,2,1,4.3,"HỖ TRỢ VAY NGÂN HÀNG 1 TỶ , QUỸ NHÀ THÀNH PHỐ. 

NHÀ NGON Q.BÌNH TÂN TÌM CHỦ NHÂN - KO LỘ GIỚI KO QUY HOẠCH - ĐƯỢC PHÉP XÂY 1 TRỆT + 2 TẦNG. GIÁ 2 TỶ 3 BỚT LỘC. 

GẦN BỆNH VIỆN - TRƯỜNG - CHỢ - vài bước ra hẻm xe tải đua. 
Đặc điểm Chi tiết
- Diện tích : 4.3m x  6.1m (Công nhận đủ 25m2)
- Kết cấu Nhà cấp 4 có gác lửng rộng rãi có thể nới 2 phòng.  (Phù hợp ở ngay hoặc xây mới 1 trệt + 2 tầng.)
- Vị trí Gần Co.opmart Hương Lộ 2 & BV Bình Tân
- Pháp lý Sổ hồng riêng, không lộ giới, không quy hoạch
- Hướng Đông tứ trạch",https://cdn.chotot.com/nR5u99T4v_2ilyHVhJ0wo-V98JR0t2XaVtg6ueUA_v0/preset:listing/plain/19dc130d94eca38d71e1b5a3e982fe5e-2978693382354995829.jpg,https://www.chotot.com/131648738.htm,2026-04-10T15:26:36.000Z,2026-04-10T15:34:25.981Z
chotot-131281583,chotot,"Nhà 4 tầng mới xây ngay Khu đô thị Vạn Phúc, đường xe ô tô né nhau.",House,SALE,8400000000,"8,4 tỷ",VND,52,161538462,"Đường Quốc lộ 13, Thành phố Thủ Đức, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Thành phố Thủ Đức,10.835623,106.71386,4,4,,,"Vị trí: Gần Khu dân cư Vạn Phúc, khu vực an ninh, dân trí cao, môi trường sống văn minh

Kết cấu: Nhà 1 trệt, 3 lầu, xây dựng kiên cố

Công năng: Phòng khách rộng, bếp hiện đại, nhiều phòng ngủ, phòng thờ, sân thượng thoáng mát

Thiết kế: Hiện đại, tối ưu không gian, phù hợp gia đình ở lâu dài và có khả năng sinh lời.
* Sổ hồng riêng, hoàn công đầy đủ.",https://cdn.chotot.com/AWCwNKDQhQwSI0_Zldae11nz9HMwJ81QjppPi72xb6A/preset:listing/plain/3746086bc870b9c04fc38dc402699cc4-2975990588600343119.jpg,https://www.chotot.com/131281583.htm,2026-04-10T15:26:11.000Z,2026-04-10T15:34:25.981Z
chotot-131686895,chotot,NHÀ HXH PHẠM VĂN CHIÊU - P.AHT ( P.14) - 63M2 - NGANG 4.5 - 6.99TỶ TL,Townhouse,SALE,6990000000,"6,99 tỷ",VND,63,110952381,"Đường Phạm Văn Chiêu, Quận Gò Vấp, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận Gò Vấp,10.848225,106.648125,5,6,4,4.5,"Dự án: 
Thông tin chi tiết: NHÀ HXH PHẠM VĂN CHIÊU - P.AHT ( P.14) - 63M2 - NGANG 4.5 - 6.99TỶ TL
- DT: 4.5x14 sổ vuông vức
- Kết cấu: Nhà 1 trệt, 1 lửng, 2 lầu gồm 5PN, 6WC sân thượng trước sau, 
- Hẻm ô tô đậu cửa, đường trước nhà sạch sẽ, an ninh
- Mua ở hoặc đầu tư cho thuê
- Pháp lí chuẩn
Lh: *** Ms Thúy dẫn xem nhà
@uli.ig.nC
 HXH PHẠM VĂN CHIÊU - P.AHT ( P.14) - 63M2 - NGANG 4.5 - 6.99TỶ TL
- DT: 4.5x14 sổ vuông vức
- Kết cấu: Nhà 1 trệt, 1 lửng, 2 lầu gồm 5PN, 6WC sân thượng trước sau, 
- Hẻm ô tô đậu cửa, đường trước nhà sạch sẽ, an ninh
- Mua ở hoặc đầu tư cho thuê
- Pháp lí chuẩn
Lh: *** Ms Thúy dẫn xem nhà
@uli.ig.nC",https://cdn.chotot.com/LEEchRb0KvsirMTdg9nQEI1CcEnadILuei2PnNJ8IWQ/preset:listing/plain/188caf4d8d9adea91f14fe42d3d57792-2978914033410738805.jpg,https://www.chotot.com/131686895.htm,2026-04-10T15:25:41.000Z,2026-04-10T15:34:25.981Z
chotot-131600455,chotot,5 TỶ 7 - NHÀ NGỘP BANK - ĐƯỜNG SỐ LINH XUÂN - 4PN 180M2 - HẺM XE TẢI,Townhouse,SALE,5700000000,"5,7 tỷ",VND,180,31666667,"Đường số 10, Thành phố Thủ Đức, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Thành phố Thủ Đức,10.876122,106.77531,4,,1,11,"Chủ nhà nợ ngân hàng bán gấp nhà đường số 10 Linh Xuân Thủ Đức 4PN 180m2 ngang khủng 11m
Mô tả: 
+ Nhà lớn diện tích rộng ngang khủng 11m x dài 16.6m = 180m2 
+ Thiết kế: 4PN, 3WC, bếp, phòng khách, nhà thoáng mát, đầy đủ công năng, nhà ở được 6 - 8 người. Phù hợp cho gia đình ở đông người. 
+ Hàng xóm thân thiện, chủ hiền lành thiện chí bán.  
+ Nhà cấp 4, tiện xây mới ở và cho thuê. 
+ Giao thông: tiện về quốc lộ 1k, quốc lộ 1A, Phạm Văn Đồng, Dĩ An, Đại học Luật Kinh Tế, Làng Đại Học. 
+ Xung quanh nhiều tiện ích: Big C, siêu thị, Chợ Linh Xuân, Chợ Xuân Hiệp, Nhà Thờ, Bách Hóa Xanh, Bệnh viện, Trường Học. 
Liên hệ Em Như chuyên nhà đất Linh Xuân Dĩ An xem nhà ngay, giáp chủ thương lượng.",https://cdn.chotot.com/PNdCM-j6JBJJX4gn2chRewnCGqm_6_WtcIopsYVsa3k/preset:listing/plain/79ba15f5a9d13fd4757e71fd8c3c2c30-2978288031483096671.jpg,https://www.chotot.com/131600455.htm,2026-04-10T15:25:36.000Z,2026-04-10T15:34:25.981Z
chotot-131357673,chotot,bán nhà,House,SALE,9000000000,9 tỷ,VND,50.2,179282869,"Đường Song hành Quốc Lộ 22, Quận 12, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận 12,10.82575,106.62788,4,4,4,,"Dự án: 
Thông tin chi tiết: Nhà đã hoàn công, hỗ trợ vay banks! Có thương lượng!",https://cdn.chotot.com/i7eNxKwscDgfz2k9H0Oizxm3PcPXN2SqiojPSxFvTW4/preset:listing/plain/0e0375676bebd5a5cdf81632f48e85b1-2976563428475782688.jpg,https://www.chotot.com/131357673.htm,2026-04-10T15:25:05.000Z,2026-04-10T15:34:25.981Z
chotot-131396145,chotot,nhà sổ hồng 2 lầu 4pn gần Phú Mỹ Hưng quận 7 giá 2.2 tỷ,Townhouse,SALE,2200000000,"2,2 tỷ",VND,24,91666667,"Đường Huỳnh Tấn Phát, Huyện Nhà Bè, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Huyện Nhà Bè,10.69437,106.74116,4,,,3,"bán nhà sổ hồng gần Phú Mỹ Hưng quận 7
dt 3x8m 2 lầu 4pn
giá 2.2 tỷ thương lượng",https://cdn.chotot.com/Frfj4jyRva9tnneAM0R0GO-4HlxtRdCZQBGcsOHwjl8/preset:listing/plain/14b7f94ec7d0f6aeb2bec4569d9793fe-2976839137923065297.jpg,https://www.chotot.com/131396145.htm,2026-04-10T15:24:10.000Z,2026-04-10T15:34:25.981Z
chotot-131306490,chotot,"4,1 tỷ - Nhà C4 - 51,7m2 - Đường Số 10 HBP Đường Oto Rộng - Giá Tốt",Townhouse,SALE,4100000000,"4,1 tỷ",VND,51.7,79303675,"Đường số 10, Thành phố Thủ Đức, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Thành phố Thủ Đức,10.842886,106.709915,2,1,1,4.0998,"4,1 tỷ - Nhà C4 - 51,7m2 - Đường Số 10 HBP Đường Oto Rộng - Giá Tốt 
Bán Nhà Cấp 4 gần ngã tư Bình Phước 
  - Ngay Quốc Lộ 13
  - Sát Chợ Đầu Mối Thủ Đức 
  - Đường Oto tránh nhau
  - Khu dân cư an ninh
  - Kết cấu : 2PN - 1WC
- Diện tích : 51.7 m2 ( 4.1m x 12.6m )
Phù hợp mua ở hoặc đầu tư giữ đất.
💰 Giá: 4.1 tỷ - Bớt lộc 
☎️Hotline_Zalo: *** (gặp em Quân) làm việc trực tiếp chủ!  
🏡Hỗ trợ miễn phí Kiểm Tra Quy Hoạch Xây Dựng - Đăng Bộ Sang Tên Khi Mua Bán",https://cdn.chotot.com/PmzbO7uX3HQEa5log8ExLgeVvM2BrTtCmfuJ7iWDk_0/preset:listing/plain/0eaf3f3d32efd81b1040aae9958cb93a-2976227255750324414.jpg,https://www.chotot.com/131306490.htm,2026-04-10T15:24:05.000Z,2026-04-10T15:34:25.981Z
chotot-131630192,chotot,Bán 890 Triệu Nhà Lầu + 5 Phòng Trọ Phía sau Sổ Hồng Riêng Ngay Chợ BC,House,SALE,890000000,890 triệu,VND,60,14833333,"Đường Hưng Nhơn, Huyện Bình Chánh, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Huyện Bình Chánh,10.714177,106.59122,3,3,1,5,"Dự án: 
Thông tin chi tiết: Kẹt Nên Cần Bán Gấp Bao Sang Tên Giá 890 Triệu
Nhà lầu 3 Phòng + 5 Phòng Trọ phía sau cho thuê 18 Triệu Tháng
Diện tích : 6 xxx 30 
• Hiện trạng: 1 trệt, 1 lửng, 1 lầu, gồm:
+ Nhà ở phía trước dt: 5m x 12m - trệt lửng 1 lầu 3 phòng ngủ 
+ Phía sau có 5 phòng trọ có Gác
- Có dòng tiền thu nhập 18tr tháng
Xem Nhà Xem Sổ Gọi Trực Tiếp Tránh Mất Thời Gian",https://cdn.chotot.com/xypwCuOmPJK-xZ5wIqgGdyLaNMscz_7IWPAIH8JGWOk/preset:listing/plain/738a53a9cff233280a752e2a3f786b90-2978479102484777589.jpg,https://www.chotot.com/131630192.htm,2026-04-10T15:23:45.000Z,2026-04-10T15:34:27.366Z
